Participant,Passage,Fiction or Non Fiction,Total Word Count of Passage,Incorrect words,Total Words Read
1,1,Fiction,397,8,103
1,2,Fiction,326,4,124
1,3,Fiction,414,4,105
1,4,Non Fiction,305,4,135
1,5,Non Fiction,397,8,108
1,6,Non Fiction,285,3,143
2,1,Fiction,397,1,163
2,2,Fiction,326,0,195
2,3,Fiction,414,2,185
2,4,Non Fiction,305,4,195
2,5,Non Fiction,397,3,190
2,6,Non Fiction,285,4,188
3,1,Fiction,397,6,146
3,2,Fiction,326,4,174
3,3,Fiction,414,2,170
3,4,Non Fiction,305,4,172
3,5,Non Fiction,397,9,166
3,6,Non Fiction,285,4,175
4,1,Fiction,397,0,184
4,2,Fiction,326,3,185
4,3,Fiction,414,0,189
4,4,Non Fiction,305,1,214
4,5,Non Fiction,397,1,193
4,6,Non Fiction,285,1,207
5,1,Fiction,397,3,155
5,2,Fiction,326,2,206
5,3,Fiction,414,4,189
5,4,Non Fiction,305,4,189
5,5,Non Fiction,397,3,183
5,6,Non Fiction,285,4,196
6,1,Fiction,397,3,172
6,2,Fiction,326,2,183
6,3,Fiction,414,2,181
6,4,Non Fiction,305,3,186
6,5,Non Fiction,397,7,170
6,6,Non Fiction,285,3,188
7,1,Fiction,397,3,136
7,2,Fiction,326,6,158
7,3,Fiction,414,5,153
7,4,Non Fiction,305,6,157
7,5,Non Fiction,397,5,158
7,6,Non Fiction,285,4,169